UDI,Timestamp,Product ID,Type of Failure,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
3238,00:19.6,M18097,M,0.44749949819088924,-0.34075191726739046,1.222834969829243,-1.32286659321677,0.12645527283769148,0,0,0,0,0,0
2729,00:19.6,L49908,L,-0.15245290534076375,-0.4755536884784861,1.3399733583280065,-1.4532782340925934,0.3306941282097859,0,0,0,0,0,0
9540,00:19.6,L56719,L,-0.3024410062236841,0.5354595956047887,-0.6402232091510928,0.7737513254791571,0.016480504560409875,0,0,0,0,0,0
2705,00:19.6,M17564,M,-0.15245290534076375,-0.5429545740840531,0.3861321948380742,-0.5604600773273423,-0.627657423920811,0,0,0,0,0,0
6713,00:19.6,H36126,H,0.6974796663290803,0.4680587099992218,-0.12704550715650928,-0.35982678367222964,-0.391997206183779,0,0,0,0,0,0
5437,00:19.6,M20296,M,1.4474201707436536,1.6812746508991594,0.782171508333894,-0.9115683412237894,-0.45483993091365416,0,0,0,0,0,0
7546,00:19.6,L54725,L,0.09752726279742736,0.9398649092380758,1.9647114303214126,-1.7441965098925065,-0.34486516263637257,0,0,0,0,0,0
6744,00:19.6,L53923,L,0.8474677672120007,0.8050631380269802,-0.6736913201507395,-0.1993201487481394,0.9119893319611315,0,0,0,0,0,0
873,00:19.6,M15732,M,-2.1022982168186433,-2.4301793710395074,-1.1366668556458528,1.1750179127893825,-0.6119467427383422,0,0,0,0,0,0
7606,00:19.6,H37019,H,0.19751933005269812,0.872464023632547,2.7177439278134643,-1.9749247975958861,-1.2875060335845006,0,0,0,0,0,0
373,00:19.6,M15232,M,-1.3023616787764485,-1.1495625445340028,-0.7462055606499741,1.1750179127893825,0.0007698233779410749,0,0,0,0,0,0
2650,00:19.6,M17509,M,-0.05246083808549298,-0.34075191726739046,0.24110371383960497,-0.17925681938262783,0.8177252448663187,0,0,0,0,0,0
8475,00:19.6,M23334,M,-0.7524053088724167,-0.2059501460562948,-0.08799937765692141,0.4627697203137324,-0.391997206183779,0,0,0,0,0,0
7512,00:19.6,L54691,L,0.19751933005269812,1.2094684516603054,0.34708606533848635,-0.38992177772049624,-1.6959837443286896,0,0,0,0,0,0
7510,00:19.6,L54689,L,0.2975113973079973,1.276869337265834,-0.9302801711480313,2.0176777461408553,1.6346806663546964,1,0,0,0,1,0
8890,00:19.6,M23749,M,-1.1523735778935282,-0.8125581165062444,3.0691590933097554,-2.0953047737889534,0.04790186692534748,0,0,0,0,0,0
2633,00:19.6,M17492,M,-0.002464804457843392,-0.2059501460562948,0.6315650088354837,-1.1422966289271685,0.06361254810781627,0,0,0,0,0,0
355,00:19.6,L47534,L,-1.2023696115211493,-1.1495625445340028,0.6650331198351305,-0.570491742010098,-0.7690535545630302,0,0,0,0,0,0
8508,00:19.6,L55687,L,-0.8024013425000663,-0.2059501460562948,-0.11588947015662704,-0.018750184458538297,0.8962786507786628,0,0,0,0,0,0
8465,00:19.6,H37878,H,-0.7024092752447672,-0.2059501460562948,0.7431253788343062,-1.2526449404374806,-0.8476069604753742,0,0,0,0,0,0
8435,00:19.6,M23294,M,-0.652413241617146,-0.07114837484519915,0.6427210458353659,-1.0921383055133904,1.3675990862527267,0,0,0,0,0,0
2737,00:19.6,M17596,M,-0.15245290534076375,-0.6103554596895818,0.20763560283995822,-0.35982678367222964,0.6449077518591619,0,0,0,0,0,0
