UDI,Timestamp,Product ID,Type of Failure,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,03:19.6,L50001,L,303.6,314.0,1411,25.3,69,0,0,0,0,0,0
2,25:19.6,H31001,H,296.4,307.5,1695,29.5,76,0,0,0,0,0,0
3,02:19.6,L50002,L,296.0,305.9,1656,40.3,13,0,0,0,0,0,0
4,15:19.6,M16001,M,300.7,312.1,1519,27.3,16,0,0,0,0,0,0
5,22:19.6,M16002,M,303.0,312.8,1537,31.7,67,0,0,0,0,0,0
6,40:19.6,L50003,L,302.0,313.4,1812,47.0,137,0,0,0,0,0,0
7,37:19.6,L50004,L,297.5,308.7,1748,43.8,117,0,0,0,0,0,0
8,07:19.6,L50005,L,298.3,309.8,1482,40.7,58,0,0,0,0,0,0
9,39:19.6,L50006,L,300.8,312.3,1513,15.2,64,0,0,0,0,0,0
10,10:19.6,L50007,L,299.3,309.4,1817,50.7,108,0,0,0,0,0,0
11,54:19.6,L50008,L,296.9,307.4,1422,36.7,66,0,0,0,0,0,0
12,32:19.6,M16003,M,300.4,310.5,1807,56.3,26,0,0,0,0,0,0
13,13:19.6,L50009,L,300.7,312.0,1729,40.4,145,0,0,0,0,0,0
14,56:19.6,L50010,L,302.3,312.7,1794,47.1,122,0,0,0,0,0,0
15,59:19.6,L50011,L,304.2,313.7,1761,26.9,101,0,0,0,0,0,0
16,48:19.6,M16004,M,298.9,308.6,1458,32.1,16,0,0,0,0,0,0
17,17:19.6,L50012,L,297.2,308.5,1436,34.4,6,0,0,0,0,0,0
18,18:19.6,L50013,L,301.6,309.7,1201,56.9,66,1,0,1,0,0,0
19,38:19.6,L50014,L,297.9,307.9,1633,50.5,101,0,0,0,0,0,0
20,55:19.6,H31002,H,299.4,310.5,1881,40.1,134,0,0,0,0,0,0
21,27:19.6,L50015,L,300.3,310.8,1488,50.5,140,0,0,0,0,0,0
22,28:19.6,L50016,L,300.1,309.8,1905,29.4,15,0,0,0,0,0,0
23,53:19.6,H31003,H,303.5,313.3,1475,37.2,25,0,0,0,0,0,0
24,43:19.6,L50017,L,303.1,312.7,1602,36.4,3,0,0,0,0,0,0
25,42:19.6,L50018,L,301.0,312.1,1558,53.8,154,0,0,0,0,0,0
26,47:19.6,H31004,H,301.4,312.7,1774,54.4,11,0,0,0,0,0,0
27,07:19.6,M16005,M,296.6,307.7,1535,22.8,51,0,0,0,0,0,0
28,49:19.6,L50019,L,296.4,307.6,1486,41.0,127,0,0,0,0,0,0
29,27:19.6,M16006,M,303.1,313.5,1453,42.2,71,0,0,0,0,0,0
30,09:19.6,L50020,L,301.3,311.6,1548,37.3,2,0,0,0,0,0,0
31,36:19.6,M16007,M,296.7,306.7,1653,33.7,33,0,0,0,0,0,0
32,54:19.6,L50021,L,304.5,315.2,1557,34.6,49,0,0,0,0,0,0
33,29:19.6,H31005,H,302.6,312.7,1499,29.5,16,0,0,0,0,0,0
34,48:19.6,H31006,H,296.9,306.7,1549,29.5,44,0,0,0,0,0,0
35,45:19.6,L50022,L,304.2,313.7,1552,48.9,178,0,0,0,0,0,0
36,30:19.6,L50023,L,301.8,313.0,1421,37.3,53,0,0,0,0,0,0
37,31:19.6,L50024,L,302.2,312.2,1865,33.6,35,0,0,0,0,0,0
38,09:19.6,L50025,L,303.3,314.4,1786,40.0,38,0,0,0,0,0,0
39,51:19.6,M16008,M,297.6,307.5,1403,31.4,41,0,0,0,0,0,0
40,21:19.6,M16009,M,301.1,311.8,1749,27.8,100,0,0,0,0,0,0
41,57:19.6,M16010,M,302.2,313.0,1460,38.2,5,0,0,0,0,0,0
42,53:19.6,M16011,M,295.7,307.2,1556,36.2,120,0,0,0,0,0,0
43,14:19.6,M16012,M,302.2,312.8,1755,35.3,105,0,0,0,0,0,0
44,13:19.6,H31007,H,295.9,305.9,1581,46.4,129,0,0,0,0,0,0
45,01:19.6,M16013,M,299.8,309.4,1756,41.3,179,0,0,0,0,0,0
46,02:19.6,M16014,M,303.5,313.7,1775,52.9,61,0,0,0,0,0,0
47,04:19.6,M16015,M,299.4,310.6,1674,36.7,111,0,0,0,0,0,0
48,28:19.6,L50026,L,299.0,310.5,1493,51.7,130,0,0,0,0,0,0
49,29:19.6,M16016,M,302.9,314.3,1564,40.8,103,0,0,0,0,0,0
50,50:19.6,L50027,L,295.7,307.1,1587,27.4,114,0,0,0,0,0,0
51,42:19.6,L50028,L,295.4,306.4,1381,52.9,9,0,0,0,0,0,0
52,57:19.6,H31008,H,303.2,313.7,1851,46.8,136,0,0,0,0,0,0
53,45:19.6,L50029,L,300.0,311.5,1680,30.8,78,0,0,0,0,0,0
54,48:19.6,M16017,M,303.7,313.4,1783,44.8,99,0,0,0,0,0,0
55,46:19.6,L50030,L,300.4,311.2,1537,36.3,60,0,0,0,0,0,0
56,40:19.6,M16018,M,298.9,309.9,1837,48.9,70,0,0,0,0,0,0
57,43:19.6,L50031,L,296.4,306.2,1752,51.5,107,0,0,0,0,0,0
58,37:19.6,M16019,M,295.8,306.7,1471,20.5,122,0,0,0,0,0,0
59,02:19.6,L50032,L,298.7,308.4,1452,38.6,49,0,0,0,0,0,0
60,37:19.6,L50033,L,301.7,308.6,1301,50.2,125,1,0,1,0,0,0
61,37:19.6,H31009,H,300.9,311.5,1493,43.6,116,0,0,0,0,0,0
62,34:19.6,L50034,L,296.9,307.6,1740,38.9,5,0,0,0,0,0,0
63,11:19.6,L50035,L,301.2,311.8,1424,48.4,176,0,0,0,0,0,0
64,47:19.6,L50036,L,298.0,309.4,1412,31.4,9,0,0,0,0,0,0
65,26:19.6,L50037,L,301.6,311.8,1432,23.7,116,0,0,0,0,0,0
66,29:19.6,H31010,H,298.4,309.8,1578,20.4,126,0,0,0,0,0,0
67,28:19.6,M16020,M,300.4,310.3,1930,29.0,58,0,0,0,0,0,0
68,14:19.6,L50038,L,298.5,309.5,1516,44.0,149,0,0,0,0,0,0
69,25:19.6,L50039,L,299.7,306.5,1172,60.5,23,1,0,1,0,0,0
70,02:19.6,M16021,M,300.8,310.4,1533,31.6,73,0,0,0,0,0,0
71,12:19.6,L50040,L,301.8,312.9,1498,23.3,70,0,0,0,0,0,0
72,31:19.6,M16022,M,298.2,308.6,1469,30.4,154,0,0,0,0,0,0
73,56:19.6,M16023,M,302.4,313.9,1422,47.8,116,0,0,0,0,0,0
74,52:19.6,L50041,L,296.1,305.6,1412,27.6,18,0,0,0,0,0,0
75,08:19.6,L50042,L,302.7,314.1,1475,68.7,72,0,0,0,0,0,0
76,49:19.6,M16024,M,304.5,314.1,1734,19.4,54,0,0,0,0,0,0
77,02:19.6,L50043,L,296.9,306.8,1593,44.0,163,0,0,0,0,0,0
78,17:19.6,L50044,L,304.4,314.6,1772,26.3,173,0,0,0,0,0,0
79,35:19.6,M16025,M,302.0,313.0,1603,29.2,24,0,0,0,0,0,0
80,48:19.6,L50045,L,297.0,308.2,1656,39.1,156,0,0,0,0,0,0
81,08:19.6,L50046,L,299.3,309.8,1491,43.9,156,0,0,0,0,0,0
82,55:19.6,L50047,L,300.1,309.6,1594,34.0,36,0,0,0,0,0,0
83,14:19.6,H31011,H,295.8,306.4,1412,51.0,110,0,0,0,0,0,0
84,47:19.6,L50048,L,298.8,308.5,1452,40.4,83,0,0,0,0,0,0
85,43:19.6,L50049,L,296.1,307.5,1628,44.8,36,0,0,0,0,0,0
86,38:19.6,L50050,L,300.1,308.2,1337,46.5,99,1,0,1,0,0,0
87,50:19.6,L50051,L,301.9,312.1,1394,23.4,30,0,0,0,0,0,0
88,05:19.6,L50052,L,296.5,307.3,1427,39.7,49,0,0,0,0,0,0
89,46:19.6,L50053,L,303.5,314.9,1577,49.0,80,0,0,0,0,0,0
90,39:19.6,L50054,L,303.7,311.3,1189,55.3,185,1,0,1,0,0,0
91,27:19.6,L50055,L,297.7,308.2,1675,40.8,116,0,0,0,0,0,0
92,46:19.6,L50056,L,304.3,314.5,1703,43.5,13,0,0,0,0,0,0
93,14:19.6,M16026,M,304.0,314.2,1730,28.7,144,0,0,0,0,0,0
94,13:19.6,L50057,L,299.5,309.6,1499,38.9,176,0,0,0,0,0,0
95,10:19.6,M16027,M,298.3,309.1,1622,37.2,114,0,0,0,0,0,0
96,01:19.6,L50058,L,303.2,314.4,1623,39.3,13,0,0,0,0,0,0
97,55:19.6,L50059,L,297.6,308.5,1448,50.2,30,0,0,0,0,0,0
98,43:19.6,L50060,L,298.4,309.1,1974,45.0,50,0,0,0,0,0,0
99,07:19.6,L50061,L,296.0,307.5,1640,59.1,137,0,0,0,0,0,0
100,43:19.6,L50062,L,298.5,309.5,1467,37.1,81,0,0,0,0,0,0
101,43:19.6,L50063,L,298.0,309.0,1382,46.5,162,0,0,0,0,0,0
102,26:19.6,L50064,L,303.8,313.5,1798,31.2,40,0,0,0,0,0,0
103,00:19.6,M16028,M,296.6,306.4,1506,24.7,164,0,0,0,0,0,0
104,32:19.6,L50065,L,295.4,305.1,1433,28.7,97,0,0,0,0,0,0
105,38:19.6,M16029,M,298.0,308.6,1483,38.2,66,0,0,0,0,0,0
106,16:19.6,L50066,L,304.5,312.2,1180,39.2,183,1,0,1,0,0,0
107,21:19.6,M16030,M,297.1,306.6,1471,47.3,74,0,0,0,0,0,0
108,27:19.6,M16031,M,301.3,311.9,1410,56.3,53,0,0,0,0,0,0
109,35:19.6,L50067,L,302.6,312.6,1504,30.1,169,0,0,0,0,0,0
110,47:19.6,L50068,L,300.5,311.3,1653,39.1,64,0,0,0,0,0,0
111,19:19.6,L50069,L,296.7,306.6,1426,21.0,112,0,0,0,0,0,0
112,08:19.6,L50070,L,304.3,315.8,1446,47.1,143,0,0,0,0,0,0
113,44:19.6,L50071,L,303.3,313.8,1576,37.0,30,0,0,0,0,0,0
114,59:19.6,H31012,H,304.0,314.1,1837,47.5,70,0,0,0,0,0,0
115,10:19.6,L50072,L,296.9,307.8,1438,35.7,62,0,0,0,0,0,0
116,35:19.6,L50073,L,297.4,308.7,1888,27.3,1,0,0,0,0,0,0
117,17:19.6,L50074,L,302.5,313.9,1858,30.9,160,0,0,0,0,0,0
118,48:19.6,L50075,L,297.3,307.7,1660,45.9,81,0,0,0,0,0,0
119,27:19.6,L50076,L,296.2,305.8,1458,54.2,179,0,0,0,0,0,0
120,33:19.6,H31013,H,296.9,307.4,1662,37.7,98,0,0,0,0,0,0
121,46:19.6,M16032,M,296.5,307.9,1835,49.8,72,0,0,0,0,0,0
122,33:19.6,M16033,M,299.3,310.1,1688,29.8,104,0,0,0,0,0,0
123,06:19.6,M16034,M,299.4,310.2,1595,43.1,62,0,0,0,0,0,0
124,52:19.6,M16035,M,299.0,305.9,1271,46.7,84,1,0,1,0,0,0
125,19:19.6,L50077,L,302.3,310.8,1277,60.0,187,1,0,1,0,0,0
126,46:19.6,L50078,L,299.7,307.8,1272,41.6,110,1,0,1,0,0,0
127,34:19.6,L50079,L,303.5,314.1,1630,31.3,121,0,0,0,0,0,0
128,32:19.6,L50080,L,300.4,310.7,2055,42.4,56,0,0,0,0,0,0
129,20:19.6,L50081,L,303.9,314.5,1387,24.4,80,0,0,0,0,0,0
130,58:19.6,M16036,M,301.3,310.9,1710,43.5,169,0,0,0,0,0,0
131,10:19.6,M16037,M,299.2,309.9,1758,38.3,3,0,0,0,0,0,0
132,51:19.6,L50082,L,304.2,313.8,1844,47.7,177,0,0,0,0,0,0
133,35:19.6,M16038,M,303.0,313.2,1394,46.8,177,0,0,0,0,0,0
134,15:19.6,M16039,M,303.2,313.8,1509,41.0,165,0,0,0,0,0,0
135,07:19.6,H31014,H,295.6,305.5,1709,25.1,96,0,0,0,0,0,0
136,19:19.6,L50083,L,297.8,308.8,1492,43.1,83,0,0,0,0,0,0
137,39:19.6,L50084,L,300.0,310.1,1594,39.1,28,0,0,0,0,0,0
138,04:19.6,M16040,M,299.8,310.6,1593,25.2,66,0,0,0,0,0,0
139,22:19.6,L50085,L,299.9,310.7,1652,33.2,24,0,0,0,0,0,0
140,09:19.6,L50086,L,300.2,308.0,1365,53.6,157,1,0,1,0,0,0
141,12:19.6,M16041,M,300.4,310.6,1522,47.5,143,0,0,0,0,0,0
142,30:19.6,L50087,L,298.0,308.3,1707,18.4,28,0,0,0,0,0,0
143,44:19.6,M16042,M,297.0,307.4,1925,35.1,149,0,0,0,0,0,0
144,50:19.6,L50088,L,301.9,313.2,1477,59.1,140,0,0,0,0,0,0
145,57:19.6,M16043,M,299.9,310.2,1543,46.5,84,0,0,0,0,0,0
146,29:19.6,L50089,L,300.9,311.1,1541,48.3,83,0,0,0,0,0,0
