UDI,Timestamp,Product ID,Type of Failure,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,20:19.6,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0
2,47:19.6,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0
3,26:19.6,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0
4,39:19.6,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0
5,36:19.6,L47184,L,298.2,308.7,1408,40,9,0,0,0,0,0,0
6,27:19.6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0
7,57:19.6,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0
8,49:19.6,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0
9,20:19.6,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0
10,37:19.6,M14869,M,298.5,309,1741,28,21,0,0,0,0,0,0
11,55:19.6,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0
12,11:19.6,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0
13,30:19.6,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0
14,19:19.6,M14873,M,298.6,309.2,1742,30,37,0,0,0,0,0,0
15,02:19.6,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0
16,07:19.6,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0
17,22:19.6,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0
18,36:19.6,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0
19,41:19.6,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0
20,33:19.6,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0
21,21:19.6,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0
22,14:19.6,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0
23,23:19.6,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0
24,22:19.6,L47203,L,299,309.4,1758,25.7,68,0,0,0,0,0,0
25,00:19.6,M14884,M,299,309.4,1561,37.3,70,0,0,0,0,0,0
26,22:19.6,L47205,L,299,309.5,1861,23.3,73,0,0,0,0,0,0
27,51:19.6,L47206,L,299.1,309.5,1512,39,75,0,0,0,0,0,0
28,09:19.6,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0
29,36:19.6,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0
