UDI,Timestamp,Product ID,Type of Failure,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,58:19.6,M20001,M,295.7,305.7,1687,51.2,123,0,0,0,0,0,0
2,01:19.6,L60001,L,296.5,308.0,1403,38.5,18,0,0,0,0,0,0
3,56:19.6,L60002,L,302.9,313.8,1488,31.9,74,0,0,0,0,0,0
4,21:19.6,M20002,M,303.7,314.5,1621,32.8,95,0,0,0,0,0,0
5,47:19.6,H35001,H,301.8,311.4,1721,50.0,32,0,0,0,0,0,0
6,02:19.6,L60003,L,295.5,305.1,1462,46.4,27,0,0,0,0,0,0
7,33:19.6,H35002,H,300.9,311.7,1509,50.1,148,0,0,0,0,0,0
8,04:19.6,M20003,M,303.0,312.8,1189,41.7,0,0,0,0,0,0,0
9,23:19.6,L60004,L,304.1,314.2,1704,54.6,172,0,0,0,0,0,0
10,50:19.6,L60005,L,304.3,315.7,1221,39.4,17,0,0,0,0,0,0
11,11:19.6,L60006,L,301.2,312.0,1610,40.9,192,0,0,0,0,0,0
12,48:19.6,L60007,L,302.3,312.2,1728,25.8,117,0,0,0,0,0,0
13,22:19.6,M20004,M,296.4,307.5,1667,38.9,30,0,0,0,0,0,0
14,03:19.6,H35003,H,301.0,311.8,1616,47.1,134,0,0,0,0,0,0
15,30:19.6,H35004,H,300.8,310.9,1567,18.4,166,0,0,0,0,0,0
16,39:19.6,L60008,L,295.8,305.5,1802,35.9,56,0,0,0,0,0,0
17,27:19.6,L60009,L,298.1,308.9,1449,38.5,112,0,0,0,0,0,0
18,45:19.6,M20005,M,303.5,314.2,1712,35.5,77,0,0,0,0,0,0
19,25:19.6,H35005,H,304.2,314.0,1310,35.0,41,0,0,0,0,0,0
20,50:19.6,L60010,L,295.5,307.0,1332,44.1,159,0,0,0,0,0,0
21,40:19.6,M20006,M,297.6,307.7,1338,47.9,16,0,0,0,0,0,0
22,30:19.6,M20007,M,298.7,309.5,1661,51.0,193,0,0,0,0,0,0
23,47:19.6,L60011,L,302.2,311.8,1238,51.3,6,0,0,0,0,0,0
24,55:19.6,L60012,L,304.0,314.1,1591,26.9,99,0,0,0,0,0,0
25,39:19.6,M20008,M,302.4,312.2,1682,44.5,89,0,0,0,0,0,0
26,57:19.6,M20009,M,295.7,306.2,1249,40.2,42,0,0,0,0,0,0
27,00:19.6,M20010,M,299.4,309.3,1453,13.8,22,0,0,0,0,0,0
28,32:19.6,L60013,L,301.5,311.1,1671,49.2,97,0,0,0,0,0,0
29,51:19.6,H35006,H,297.8,307.7,1523,32.5,35,0,0,0,0,0,0
30,42:19.6,M20011,M,295.9,307.1,1784,34.2,247,1,1,0,0,0,0
31,23:19.6,L60014,L,299.4,309.9,1319,32.0,182,0,0,0,0,0,0
32,41:19.6,H35007,H,299.7,311.1,1820,30.8,217,1,1,0,0,0,0
33,22:19.6,L60015,L,301.2,312.4,1922,38.9,168,0,0,0,0,0,0
34,14:19.6,L60016,L,296.4,307.3,1730,45.1,182,0,0,0,0,0,0
35,04:19.6,L60017,L,301.3,311.8,1336,35.5,66,0,0,0,0,0,0
36,38:19.6,H35008,H,298.5,308.6,1529,45.2,246,1,1,0,0,0,0
37,38:19.6,M20012,M,300.3,311.2,1609,37.1,61,0,0,0,0,0,0
38,22:19.6,L60018,L,295.8,307.2,1835,45.5,45,0,0,0,0,0,0
39,08:19.6,L60019,L,303.3,314.0,1649,47.8,123,0,0,0,0,0,0
40,47:19.6,L60020,L,303.9,314.6,1623,44.5,52,0,0,0,0,0,0
41,30:19.6,L60021,L,299.8,309.4,1168,20.3,100,0,0,0,0,0,0
42,57:19.6,L60022,L,295.4,306.4,1471,24.5,107,0,0,0,0,0,0
43,44:19.6,L60023,L,302.0,312.8,1769,36.4,41,0,0,0,0,0,0
44,55:19.6,L60024,L,303.2,313.0,1386,45.8,26,0,0,0,0,0,0
45,09:19.6,H35009,H,297.2,307.2,1749,37.7,214,1,1,0,0,0,0
46,41:19.6,L60025,L,300.6,311.2,1478,58.6,18,0,0,0,0,0,0
47,15:19.6,L60026,L,295.9,307.0,1425,64.7,181,0,0,0,0,0,0
48,59:19.6,L60027,L,298.9,309.6,1299,33.6,2,0,0,0,0,0,0
49,48:19.6,M20013,M,303.5,314.9,1504,50.2,90,0,0,0,0,0,0
50,40:19.6,L60028,L,300.3,311.2,1486,39.8,108,0,0,0,0,0,0
